seq,menu_file,item_id,title_ref,title_zh,domain,phase,status,owner,verify,notes
1,about.xml,@+id/menu_share_it,@string/share,分享,系统与工具,P10,pending,-,-,-
2,about.xml,@+id/menu_scoring,@string/scoring,评分,系统与工具,P10,pending,-,-,-
3,app_log.xml,@+id/menu_clear,@string/clear,清除,系统与工具,P10,pending,-,-,-
4,app_update.xml,@+id/menu_download,@string/action_download,下载,系统与工具,P10,pending,-,-,-
5,audio_play.xml,@+id/menu_change_source,@string/change_origin,换源,阅读与朗读,P3,pending,-,-,-
6,audio_play.xml,@+id/menu_login,@string/login,登录,阅读与朗读,P3,pending,-,-,-
7,audio_play.xml,@+id/menu_copy_audio_url,@string/copy_play_url,拷贝播放 URL,阅读与朗读,P3,pending,-,-,-
8,audio_play.xml,@+id/menu_edit_source,@string/edit_book_source,编辑书源,阅读与朗读,P3,pending,-,-,-
9,audio_play.xml,@+id/menu_wake_lock,@string/audio_play_wake_lock,音频服务唤醒锁,阅读与朗读,P3,pending,-,-,-
10,audio_play.xml,@+id/menu_log,@string/log,日志,阅读与朗读,P3,pending,-,-,-
11,backup_restore.xml,@+id/menu_help,@string/help,帮助,导入导出与备份,P8,pending,-,-,-
12,backup_restore.xml,@+id/menu_log,@string/log,日志,导入导出与备份,P8,pending,-,-,-
13,book_cache.xml,@+id/menu_download,@string/action_download,下载,书架/缓存/分组,P6,pending,-,-,-
14,book_cache.xml,@+id/menu_book_group,@string/group,分组,书架/缓存/分组,P6,pending,-,-,-
15,book_cache.xml,@+id/menu_export_all,@string/export_all,导出所有,书架/缓存/分组,P6,pending,-,-,-
16,book_cache.xml,@+id/menu_enable_replace,@string/replace_purify,替换净化,书架/缓存/分组,P6,pending,-,-,-
17,book_cache.xml,@+id/menu_enable_custom_export,@string/custom_export_section,自定义Epub导出章节,书架/缓存/分组,P6,pending,-,-,-
18,book_cache.xml,@+id/menu_export_web_dav,@string/export_to_web_dav,导出到 WebDav,书架/缓存/分组,P6,pending,-,-,-
19,book_cache.xml,@+id/menu_export_no_chapter_name,@string/export_no_chapter_name,TXT 不导出章节名,书架/缓存/分组,P6,pending,-,-,-
20,book_cache.xml,@+id/menu_export_pics_file,@string/export_pics_file,TXT 导出图片,书架/缓存/分组,P6,pending,-,-,-
21,book_cache.xml,@+id/menu_parallel_export,@string/parallel_export_book,多线程导出,书架/缓存/分组,P6,pending,-,-,-
22,book_cache.xml,@+id/menu_export_folder,@string/export_folder,导出文件夹,书架/缓存/分组,P6,pending,-,-,-
23,book_cache.xml,@+id/menu_export_file_name,@string/export_file_name,导出文件名,书架/缓存/分组,P6,pending,-,-,-
24,book_cache.xml,@+id/menu_export_type,@string/export_type,导出格式,书架/缓存/分组,P6,pending,-,-,-
25,book_cache.xml,@+id/menu_export_charset,@string/export_charset,导出编码,书架/缓存/分组,P6,pending,-,-,-
26,book_cache.xml,@+id/menu_log,@string/log,日志,书架/缓存/分组,P6,pending,-,-,-
27,book_cache_download.xml,@+id/menu_download_after,@string/menu_download_after,下载之后章节,书架/缓存/分组,P6,pending,-,-,-
28,book_cache_download.xml,@+id/menu_download_all,@string/menu_download_all,下载全部章节,书架/缓存/分组,P6,pending,-,-,-
29,book_group_manage.xml,@+id/menu_add,@string/add_group,添加分组,书架/缓存/分组,P6,pending,-,-,-
30,book_info.xml,@+id/menu_edit,@string/edit,编辑,搜索/详情/目录,P2,done,codex,flutter test test/search_book_info_edit_helper_test.dart test/search_book_info_menu_helper_test.dart test/search_book_info_view_edit_action_test.dart 通过; 手工路径: 书架点开书籍详情->顶栏编辑->进入编辑书籍信息页,确认仅书架内书籍显示编辑入口并保持 legado menu_edit->BookInfoEditActivity 同义触发语义
67,book_read.xml,@+id/menu_toc_regex,@string/txt_toc_rule,TXT 目录规则,阅读与朗读,P3,done,codex,flutter test test/reader_txt_toc_rule_dialog_test.dart test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->本地 TXT 书籍->顶部 TXT 目录规则->选择规则->确定,确认取消不生效且确定后立即重建目录并保持 menu_toc_regex 同义触发语义
68,book_read.xml,@+id/menu_set_charset,@string/set_charset,设置编码,阅读与朗读,P3,done,codex,flutter test test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->本地书籍->顶部设置编码->输入 GBK -> 确定,确认设置编码入口为顶栏一级动作且阅读操作菜单不再出现该项，输入式对话框支持自由输入并在本地 TXT 与非 TXT 场景都触发目录重载，取消不生效且不追加扩展成功提示
69,book_read.xml,@+id/menu_add_bookmark,@string/bookmark_add,添加书签,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->添加书签；阅读页九宫格点击动作配置为“添加书签”后点击触发；校验均弹出书签编辑框，取消不落库，确定后新增书签并在目录书签页可见,将 menu_add_bookmark 从“有则删无则加”收敛为 legado 同义“始终打开编辑弹窗后确认新增”；默认预填当前阅读页文本并记录章节进度，书签跳转补齐按 chapterPos 恢复阅读进度
70,book_read.xml,@+id/menu_edit_content,@string/edit_content,编辑内容,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->编辑正文->重置；阅读页->阅读操作->编辑正文->关闭；阅读页->阅读操作->正文倒序,补齐 menu_edit_content 正文抓取失败兜底：记录 reader.menu.<action>.fetch_content_failed 日志并回退当前显示内容；编辑页重置期间新增全屏遮罩与整页交互锁定，关闭/返回保持自动保存语义
83,book_read.xml,@+id/menu_update_toc,@string/update_toc,更新目录,阅读与朗读,P3,done,codex,flutter test test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart test/search_book_info_refresh_helper_test.dart 通过; flutter test test/reader_catalog_sheet_test.dart 通过; 手工路径: 阅读页->阅读操作->更新目录（在线书与本地 TXT/EPUB 分别验证）,确认在线失败提示收敛为“加载目录失败”且本地失败提示收敛为 LoadTocError 前缀并移除成功扩展提示
94,book_read_refresh.xml,@+id/menu_refresh_dur,@string/menu_refresh_dur,刷新当前章节,阅读与朗读,P3,done,codex,flutter test test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(点击) 与 阅读页->顶部刷新按钮(长按)->刷新当前章节; 确认 menu_refresh 与 menu_refresh_dur 同分支并默认执行刷新当前章节
95,book_read_refresh.xml,@+id/menu_refresh_after,@string/menu_refresh_after,刷新之后章节,阅读与朗读,P3,done,codex,flutter test test/reader_refresh_scope_helper_test.dart test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(长按)->刷新之后章节; 确认从当前章节开始清理后续缓存并触发当前章节重载，前序章节缓存保持不变
96,book_read_refresh.xml,@+id/menu_refresh_all,@string/menu_refresh_all,刷新全部章节,阅读与朗读,P3,done,codex,flutter test test/reader_refresh_scope_helper_test.dart test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(长按)->刷新全部章节; 确认从首章开始清理全量章节缓存并回写变更章节，随后重载当前章节，且无可用书源时回落当前章节重载
97,book_read_source.xml,@+id/menu_login,@string/login,登录,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->登录; 校验 loginUrl 为空时菜单不显示登录，loginUrl 非空点击后可进入登录流程（表单登录或网页登录）,登录动作改为按 bookSourceUrl 回查当前书源后再触发，缺失时提示“未找到书源”，以对齐 legado SourceLoginActivity 的实时状态边界
98,book_read_source.xml,@+id/menu_chapter_pay,@string/chapter_pay,购买,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书,VIP未购买章节)->顶部书源名->章节购买->确定; 校验仅 loginUrl 非空且当前章节 isVip=true 且 isPay!=true 显示入口，确认后按 payAction 结果分流（URL 打开网页，truthy 结果清缓存并刷新目录），异常仅写日志且不追加扩展提示
99,book_read_source.xml,@+id/menu_edit_source,@string/edit_book_source,编辑书源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->编辑书源; 校验点击后按当前 sourceUrl 回查书源并进入编辑书源页，弹层期间若书源被删除则提示未找到书源，编辑后仅保存返回时刷新阅读页书源显示,编辑动作由使用弹层快照 source 直接打开收敛为 legado 同义的按 bookSourceUrl 实时回查后打开；保存返回才刷新菜单书源显示以对齐 RESULT_OK 回调语义
100,book_read_source.xml,@+id/menu_disable_source,@string/disable_book_source,禁用书源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->禁用书源; 校验点击后按 bookSourceUrl 回查当前书源并直接写库禁用，无确认弹窗且无成功提示,禁用动作由弹层快照 source 直接写库收敛为 legado 同义的按 bookSourceUrl 实时回查后禁用；回查缺失时提示“未找到书源”
164,book_toc.xml,@+id/menu_split_long_chapter,@string/split_long_chapter,拆分超长章节,搜索/详情/目录,P2,done,codex,手工路径: 书籍详情页->查看目录->更多->拆分超长章节; 校验仅本地 TXT 显示勾选态并切换后即时重建目录,目录页补齐 menu_split_long_chapter 勾选入口并复用本地 TXT 重解析链路; 切换后同步刷新目录列表与勾选状态
166,book_toc.xml,@+id/menu_use_replace,@string/use_replace,使用替换,搜索/详情/目录,P2,done,codex,手工路径: 书籍详情页->查看目录->更多->使用替换; 校验固定文案+勾选态切换且不弹成功提示，切换后目录标题即时按替换规则刷新,目录页补齐 menu_use_replace 全局开关并持久化到 tocUiUseReplace；展示链路收敛为 tocUiUseReplace && 书籍启用替换规则
167,book_toc.xml,@+id/menu_load_word_count,@string/load_word_count,加载字数,搜索/详情/目录,P2,done,codex,flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart test/reader_catalog_sheet_test.dart 通过; 手工路径: 书籍详情页->查看目录->更多->加载字数; 校验固定文案+勾选态切换且不弹成功提示，目录项字数按开关即时显隐,目录页补齐 menu_load_word_count 全局开关并持久化到 toc_ui_load_word_count；目录项在开关开启且存在可用字数时显示 xx字/xx万字
